呵	;kk;kk;kk;dz;ks;kk;kh;kh
𤱵	;jt;jt;ht,te;hq;ud;;
𥀂	;fp;ty;pf,fp;gr;ff;;
𦰥	;ce;ce;cb;lt;ar;;
𦾭	;cf;cf;cb;ll;at;;
𨢐	;yf;yf;yp;yl;sg;;
𩋮	;gc;gc;gf;tk;af;;
𩍗	;gf;gf;gm,gf;tl;af;;
𩦠	;md;md;mp;np;cs;;
𩮗	;ib;al;ib;pi;de;;
報	;ty;ty;ex,ty,xy;gr;fu;;tv
寶	;bb;bb;bb;wo;pg;;bd
寳	;bb;bb;bb;wo;pg;;bd
飽	;ub;rs;ub;qv;wp,wy;;rp
铇	;jb;js;jb;zv;qq;;jp
剝	;dl;vd;dl;bp;xg;;vs
勹	;pv;pv;gb,pg;nk;qt,zz;;pv;pv
骲	;gb;gs;gb;fv;me;;sp
媬	;nm;nm;nb;be;vw;;nr
襃	;wy;wy;dy,wy,yd;te;yq;;dd
鉋	;jb;js;jb;zv;qq;;jp
駂	;bm;bm;mu;vn;xf;;ph
鑤	;ju;ju;jb;zk;qj;;jl
寚	;bf;bf;bf;wa;pg;;bs
怉	;xb;xs;xb;hv;nq;;xp
犦	;nu;nu;nb;qk;tr;;pl
虣	;hw;aj;hw;fz;ga;;hs
裦	;wy;wy;dy,wy,ym;tt;yq;;dd
鴇	;bn;bn;nu;vx;xf;;pp
㙅	;tm;tm;td;ge;fk;;
㙸	;tp;tn;tp;gi;fw;;
㫧	;om;om;om;op;jo;;
㲏	;pm;pm;mp;av;th;;
㲒	;mj;bm;mj;gv;qk;;
㵡	;db;ds;db;kv;if;;
㻄	;wd;wr;wd;nt;gt;;
㿺	;pb;oy;pb;or;ja;;
䈏	;vt;vt;vt;rq;tg;;
䎂	;yb;xs;yb;zv;nq;;
䤖	;yu;yu;yb;yk;sg;;
䥤	;jb;js;jb;zv;qf;;
䨌	;yy;ye;yy;tp;ff;;
䨔	;yg;yw;yg;tm;fi;;
䪨	;lu;lu;yu;xi;uj;;
䭋	;ub;rm;ub;qe;wy;;
䳈	;nb;ns;nb;xv;wv;;
䳰	;rn;rn;nb;jx;wk;;
䴐	;bn;bn;nb;wx;pg;;
佨	;rb;rs;rb;jv;wq;;rp
儤	;ru;ru;rb;jk;wj;;rl
勽	;br;br;gr;nj;qw;;pr
嚗	;ku;ku;kb;dk;kj;;kl
堢	;tm;tm;tb;ge;fw;;tr
宲	;bm;bm;bd;we;pk;;bm
忁	;xu;iu;xu;wk;tj;;pl
曓	;ob;ob;ob;of;jb;;lh
犳	;qu;qu;qu;mi;qt;;pp
珤	;wf;wf;wf;na;gr;;wp
窇	;bb;bs;xb,bb;ev;pw;;bv
笣	;vb;vs;vb;rv;tq;;gv
緥	;sb;ym;sb;ie;xw;;ir
菢	;cb;cs;cb;lv;ar;;cv
蕔	;cy;cy;cb;lr;af;;cd
藵	;cy;cy;cy;lt;aw;;cd
蚫	;ib;is;ib;cv;jq;;op
袌	;wy;wy;dy,wy,yb;tv;yq;;dd
賲	;rb;rb;bb;jo;wk;;rd
闁	;mm;mm;mm;aa;uu;;sh
靌	;yb;yb;yb;to;fp;;hd
飹	;um;re;um;qb;wp,wy;;rp
髱	;ib;as;ib;pv;de;;hv
鮑	;yb;as;yb;wv;qo;;pp
鳵	;vn;vn;nu,nx;ax;nf;;vp
齙	;ib;vs;ib;lv;hb,hw;;sp
𠅬	;wy;wy;ww;zh;yt;;
𠣒	;be;be;gr;nm;qw;;
𠣺	;db;ds;gs,db;wv;ua;;
𠤏	;bu;bu;bu;vn;xf;;
𠹕	;ku;ku;kb;di;ke;;
𡂟	;kb;ks;cb,pb,kb;dv;kk;;
𡉩	;tq;tq;tq;gm;fd;;
𡧖	;bm;bm;bb;wh;pb;;
𡶄	;ub;es;ub;vv;mq;;
𢼌	;by;by;wb,pb,bp;nh;qn;;
𣋳	;oh;oh;ob,oh;oc;jy;;
𣭀	;bm;bm;mb;nv;qn;;
𤔣	;vs;py;vs;yr;ev;;
𤝧	;qu;qu;qv;mi;qt;;
𤞥	;qm;qm;qd;me;qt;;
𤿈	;pu;uy;pu;nr;qy;;
𥄹	;ob;os;ob;qv;hq;;
𥭓	;vu;vu;vv;ri;to;;
𦡕	;ob;os;ob;vv;ef;;
𦢊	;ou;ou;ob;vk;ej;;
𧘑	;pu;pu;yu;ti;pu;;
𧝘	;yy;py;yp,yy;tp;pu;;
𧭤	;yb;wu;yb;sk;yj;;
𧵢	;bb;os;bb;ov;mq;;
𨇅	;zu;zu;zb;pk;kh;;
𨚔	;be;be;be;nt;qn;;
𨠖	;yb;ys;yb;yv;sg;;
𨰦	;jb;rb;jb;zo;qp;;
𨰻	;jj;jj;pp,jj;zz;qq;;
𩊅	;ge;ge;gm;tb;af;;
𩍂	;eg;eg;gt;tt;bq;;
𩛞	;uf;rz;uf;qh;wy;;
𩬽	;im;am;im;pe;de;;
𩭼	;ib;am;ib;pe;de;;
𩾡	;nu;nu;nu;xi;wv;;
𩿓	;nn;nn;nn;xq;wv;;
𪏶	;ub;hs;ub;xv;tw;;
勃	;ul;ul;lb,lz;ns;fp;ul;hv;fl
輩	;fi;fi;if,fi;ry;dj;;ss
貝	;ob;ob;ad,ob;ob;mh;;sd
備	;ry;ry;ry;jt;wa;;rc
盃	;bm;bm;bm,mb;ca;gi;;hh
庳	;gu;gu;gb;xn;yr;gu;ds;xs
苝	;cb;cb;cb;lv;au;;cv
鞞	;gu;gu;gb;tn;af;;cp
杮	;mj;ml;mf,mj;er;sg;;mh
揹	;fo;fo;fb;uv;ru;;fs
柸	;mp;mp;mp;ef;sg;;mh
軰	;ib;li;ib;ay;ux;;ss
骳	;gp;gy;gp;fr;me;;sv
桮	;mk;mk;mf;ed;sg;;mh
鉳	;jb;jb;jb;zv;qu;;js
俻	;rt;rt;rb;jq;wt;;rp
偹	;rt;rt;rb;jq;wh;;rs
諀	;yb;wu;yb;sn;yr;;ap
箄	;vu;vu;vb;rn;tr;;gs
鋇	;jb;jb;jb;zo;qm;;js
㓈	;du;du;du;wm;ud;;
㔨	;bo;bo;gb;nv;qu;;
㛝	;nb;nb;nb;bo;vm;;
㣁	;gy;gy;gy;bt;xa;;
㤳	;xk;xk;xf;hd;ng;;
㰆	;ma;am;ma;ne;gk;;
㶔	;dd;dd;db;km;il;;
㷶	;rh;rh;bh;jc;wa;;
㸢	;py;py;py;at;th;;
㸬	;nu;nl;nu;qr;tr;;
㸽	;nb;nb;nb;qo;tr;;
㻗	;fy;fy;yf;ri;dj;;
㼎	;gj;gx;gj;yb;rc;;
㽡	;tu;tu;tb;qn;lr;;
㾱	;bf;bv;bf;ap;uw;;
䁅	;om;om;om;qa;hb;;
䋳	;sb;yo;sb;iv;xu;;
䔒	;ck;ck;cp;ld;ab;;
䠙	;zf;zf;zp;pl;kh;;
䡶	;ib;iu;ib;yn;ln;;
䩀	;fb;fb;fb;ro;dj;;
䰽	;yu;al;yu;wr;qo;;
偝	;ro;ro;rb;jv;wu;;rs
僃	;ry;ry;ry;jt;wa;;rc
愂	;ux;ux;xb;nh;fp;;hx
憊	;rx;rx;xb;jh;wa;;rx
昁	;oj;ol;of,oj;or;jg;;lh
梖	;mb;mb;mb;eo;sm;;ms
棑	;mf;mf;mf;er;sd;;ms
牬	;nz;np;nz;qt;tr;;pp
犕	;ny;ny;ny;qt;tr;;pc
狽	;qb;qb;qb;mo;qt;;ps
珼	;wb;wb;wb;no;gm;;ws
禙	;po;po;ub;fv;py;;ds
藣	;cb;cb;cb,cn;lv;al;;cv
蛽	;ib;ib;ib;co;jm;;os
誖	;yz;wz;yb,yz;sh;yf;;ah
郥	;eb;oe;eb;ot;mb;;sv
鄁	;eb;le;eb;at;ux;;sv
鵯	;pn;pn;nb;ux;rt;;pp
𠋭	;rk;rk;rk;jd;wy;;
𠐡	;ri;ri;rb;jy;wd;;
𠢥	;fl;fl;lf,fl;ts;xj;;
𡋭	;bt;lt;tb,bt;ag;ux;;
𡥞	;zb;pz;zb;yh;ep;;
𡰯	;uj;uj;uj;cr;nm;;
𢂏	;uk;al;uu,uk;fr;gm;;
𢃍	;ju;ju;jb;rn;mh;;
𢴾	;fx;fx;fb;uh;rd;;
𢻵	;pk;ay;wu,up,pk;fh;gm;;
𣎵	;cr;vn;ir,kr,cr;me;bi;;
𣖾	;my;my;my;et;sa;;
𣝁	;mu;mu;mb;en;st;;
𣬍	;cb;cb;bm,mb;lv;al;;
𣬪	;um;am;mu,mk,um;fv;gm;;
𤜲	;uq;aq;qu,qk,uq;fm;gm;;
𤰈	;cy;ay,cy;yg;lt;gj;;
𤳦	;td;td;ld,td;qm;ll;;
𤵛	;bp;bp;bp;af;ug;;
𤷁	;bt;bt;bt;ag;ug;;
𤷒	;bu;bu;bb;an;ul;;
𤹲	;bt;bt;bg;aq;ua;;
𤿒	;pn;vd;pn;rj;hc;;
𤿾	;bp;py;pb,bp;ur;rt;;
𥏓	;uc;uc;ug,uc;ol;td;;
𥶓	;vb;vb;vb;rv;tl;;
𦈧	;fb;fb;fb;ac;rm;;
𦈶	;fk;fk;ff;ad;rm;;
𦩖	;vu;vu;vb;in;te;;
𦮷	;cb;cb;cb;lo;am;;
𦾙	;cu;cl;cu;ln;ar;;
𧉥	;bi;li;ib,bi;ac;ux;;
𧋲	;wi;wi;wb,wi,ib;zc;yu;;
𧶙	;bf;lb;bf;ao;ux;;
𧼠	;tu;tu;zb;pn;fh;;
𨚍	;be;be;be;vt;xx;;
𩇩	;df;df;fd,df;mr;dd;;
𩔹	;by;pb;yp,yb,by;ew;er;;
𩖠	;fn;jn;fn;ob;mt;;
𩚾	;bu;ll;ub,bu;aq;ux;;
夲	;du;du;du;mn;df;;hs
漰	;do;do;db;kv;im;;us
喯	;kc;kc;kb;dl;kd;;kh
炃	;hf;bh;hf;hc;wv;;pq
坋	;td;td;tf;gp;fw;td;tp;tb
奙	;sd;sd;sd,sy;ka;cd;;vv
泍	;db;db;db;kf;is;;um
渀	;dc;dc;db;kl;id;;uh
錛	;jc;jc;jb;zl;qd;;jh
㡷	;gb;gb;yb;xf;ys;;
㤓	;xb;xb;xb;hf;ns;;
㨧	;ft;ft;fb;uq;rc;;
㮺	;bk;bk;bl;ed;sg;;
㱵	;db;db;dp;go;gq;;
䬱	;ub;rb;ub;qf;wy;;
捹	;fc;fc;fb;ul;rd;;fh
撪	;fi;fi;ff,fi;uy;rc;;fv
桳	;mu;mu;mu;en;sc;;mv
楍	;mk;mk;mk;ed;sk;;mk
翉	;bx;bx;yb;ez;sg;;mv
蟦	;ib;ib;ib;co;jf;;oh
賁	;ub;ub;bh;no;fa;;hd
逩	;zc;zc;zb;mu;df;;hz
𡗢	;dk;dl;dk;mv;da;;
𡗲	;dj;dj;dj;mt;dr;;
𣄏	;ft;ft;fb;lq;yc;;
𣳰	;du;du;du;ka;is;;
𣴞	;dt;dt;db;kg;iw;;
𥢊	;hb;hb;hp,hb;xo;tf;;
𦯀	;ct;ct;cb;lg;aw;;
𨋒	;ic;ic;ib;yl;lc;;
𩣺	;mc;mc;mb;nl;cd;;
𩰶	;gh;ar;gh;nk;gk;;
𪊜	;lb;gb;lb;xf;yn;;
𪎝	;gb;gb;mb;zf;ys;;
𪑖	;hb;hc;hb;pl;lf;;
繃	;sb;yo;sb;iv;xm;;is
嗙	;kf;kf;kp;dl;ku;;kd
綳	;sp;yo;sp;iv;xe;;iy
菶	;cf;cl;cf;lu;ad;;cs
琣	;wk;wk;wk,wp;nd;gu;;wd
堋	;to;to;tp;gv;fe;to;ty;ty
伻	;rp;rp;rp;jh;wg;;rh
塴	;to;to;tb;gv;fm;;ts
埄	;tf;tf;tf;ga;ft;;tp
揼	;fu;fu;fb;uk;rd;fu;
甮	;wy;wy;wy;nt;qr;;ps
鏰	;jo;jo;jb;zv;qm;;js
㑟	;rb;rb;rb;jh;wr;;
㱶	;dp;dp;dp;ge;gq;;
㷯	;hf;hl;hf;cu;of;;
䋽	;sf;yc;sf;ik;xf;;
䙀	;po;po;yp;tv;pu;;
䨻	;yt;yt;ll;tq;fl;;
䩬	;gf;gl;gf;tu;af;;
䭰	;xf;hl;xf;xu;tj;;
䳞	;nf;fn;nf;ax;dw;;
埲	;tf;tl;tf;gu;fd;;th
奟	;do;do;dp;mv;de;;hy
嵭	;up;ef;up;vl;mu;;
痭	;bo;bo;bp;av;ue;;dy
絣	;sb;yk;sb;il;xu;;id
跰	;zk;zk;zb;pl;kh;;zd
逬	;zb;zk;zb;tu;tf;;pz
閍	;mf;mf;mf;al;uy;;
鞛	;gk;gk;gk,gp;td;af;;
𠜳	;od;od;pd,oy;vp;ee;;
𠡮	;ol;ol;lp;vs;ee;;
𡎾	;to;to;tp;gv;fq;;
𡡈	;no;no;nb;bv;vm;;
𡶤	;yu;ey;yu;vt;me;;
𡾛	;ub;ek;ub;vl;mr;;
𢆸	;vy;vy;yy;ia;xx;;
𢉁	;go;go;gp;xv;ye;;
𢏳	;gk;gg,gk;gb;be;xu;;
𢐒	;go;go;gb;bv;xm;;
𣂤	;oj;oj;jp,jo,oj;vt;ee;;
𣨥	;do;do;dp;gv;gq;;
𤙾	;nb;nk;nb;qe;tr;;
𤡭	;qp;qp;qp;me;qt;;
𤫬	;gf;gf;gf;ya;rc;;
𥖗	;uu;uu;ju,uu;hm;fk;;
𥛱	;up;ux;up;hf;fk;;
𥞩	;hk;hk;hb;xl;tu;;
𥦜	;bo;bo;xp;ev;pw;;
𦂌	;tx;tx;sf;gi;ff;;
𦅈	;sp;yp;sp;ie;xf;;
𦝷	;ok;ok;op;vl;en;;
𦺑	;cm;cm;cm;lv;au;;
𧑑	;if;il;ib,if;cu;ja;;
𧚭	;yb;pk;yb;te;pu;;
𧩱	;yp;wk;yp;sl;yn;;
𧻓	;tk;tk;zb;pl;fh;;
𨆊	;gz;uz;zg,gz;hp;fk;;
𨓁	;zy;zy;zy;iu;xx;;
𨕧	;zk;zk;zj;iu;xx;;
𨹹	;ep;ro;ep;tv;be;;
𨻱	;eb;ro;eb;tv;bm;;
𩂦	;yk;yk;yb;tl;fu;;
𩊌	;gl;gl;gl;ti;af;;
𩑚	;fy;fb;yf,fy;aw;dh;;
𩗴	;ff;jl;ff;ou;mt;;
𪔑	;gu;uu;gu;hm;fk;;
筆	;vy;vy;vy;rb;tv;;gs
拂	;ff;ff;ff;ut;rx;ff;fv;fg
畢	;aa;ll;aa;qu;ja;;ls
祕	;pb;pb;ub;ft;py;pb;dx;dx
幣	;jw;dj;jb,jw;fr;um;;ds
閟	;mb;mb;mb;at;un;;sp
柲	;mb;mb;mb;et;sn;;mx
肶	;ob;ob;ob;vv;ex;;yh
偪	;rt;rt;rf,rt;jq;wg;;rh
閉	;mc;mc;mc;at;uf;;sp
禆	;pu;pu;ub;fn;py;;dp
饆	;ub;rl;ub;qu;wp,wy;;rl
啚	;kk;kk;kh;dd;kf;;kh
皀	;bb;bb;bb;uv;rx;;pv
鷩	;nw;dn;nb,nw;fx;um;;dd
斃	;sw;db;sb,sw;fv;um;;dv
睥	;ou;ou;ob;qn;hr;mu;sp;lp
闬	;mg;mg;mg;ae;uf;;ds
弻	;gg;gg;gg;bb;xg;;vh
毴	;mf;mf;mf;vr;tf;;ps
痺	;bu;bu;bb;an;ur;;ds
箆	;vb;vb;vb;rv;tm;;gv
腷	;ot;ot;of,ot;vq;eg;;yh
彃	;gb;gl;gb;bu;xj;;vl
鉍	;jb;jb;jb;zt;qn;;jx
煏	;ht;ht;hf,ht;cq;og;;qh
怭	;xb;xb;xb;ht;nn;;xx
柀	;mp;my;mp;er;sh;;mv
湢	;dt;dt;df,dt;kq;ig;;uh
獘	;qw;dq;qb,qw;fm;um;;dd
髲	;pb;ay;ip,pb;pr;de;;hd
愊	;xt;xt;xf,xt;hq;ng;;xh
楅	;mt;mt;mf,mt;eq;sg;;mh
滭	;db;dl;db;ku;ij;;ul
粃	;mb;mb;mb;pv;ox;;dh
纰	;sb;sb;sb;iv;xx;sb;ih;ih
嗶	;kb;kl;kb;du;kj;;ks
夶	;dd;dd;dd;mm;dd;;hh
奰	;sd;sd;ds,sd;ym;ll;;sd
梐	;mt;mt;mt;eg;sx;;mh
畐	;at;at;at;fq;gk;;hh
疕	;bb;bb;bb;av;ux;;dv
疪	;bb;bb;bb;av;ux;;dv
繴	;ux;ux;sb,sx;ci;nk;;vi
聛	;eu;eu;eb;qn;br;;hp
蜌	;it;it;ib,it;cg;jx;;oh
貏	;vu;vu;vb;mn;ee;;pp
蹕	;zb;zl;zb;pu;kh;;zl
鶝	;an;an;nf,nt;fx;gk;;hp
堛	;tt;tt;tf,tt;gq;fg;;th
妼	;nb;nb;nb;bt;vn;;nx
潷	;dy;dy;db;kb;it;;ug
熚	;hb;hl;hb;cu;oj;;ql
綼	;sb;yu;sb;in;xr;;ip
鎞	;jb;jb;jb;zv;qt;;jp
鏎	;jb;jl;jb;zu;qj;;jl
鐴	;jx;ju;jb,jx;zn;qn;;jv
飶	;ub;rb;ub;qt;wp,wy;;rx
㓖	;db;dl;db;wu;uj;;
㗉	;fk;fk;qg;as;dh;;
㗊	;kk;kk;ll;dd;kk;;
㘠	;kb;kb;wb;rt;ln;;
㘩	;tb;tb;tb;gv;fx;;
㙄	;tt;tt;tb;gg;fx;;
㚕	;df;df;df;mt;dx;;
㚰	;np;np;np;bf;vg;;
㠲	;jb;jb;jb;rv;mh;;
㡀	;dd;dd;dd;fb;um;;
㡙	;jb;jb;jp;rv;mh;;
㢰	;gp;gy;gp;br;xh;;
㢶	;gb;gb;gb;bu;xd;;
㢸	;gw;gw;gw;bh;xx;;
㧙	;fb;fb;fb;ut;rn;;
㪏	;py;py;wb;uh;rt;;
㪤	;wb;lw;wb;qh;ja;;
㮰	;mb;mb;mp;ev;st;;
㮿	;mb;ml;mb;eu;sj;;
㯇	;mt;mt;mf;eg;sd;;
㱸	;db;du;db;gn;gq;;
㳼	;gu;gu;uh;pk;ak;;
㵥	;dm;dm;dm;ka;ip;;
㵨	;uu;uu;ub;ck;nk;;
㹃	;fn;fn;nf;rq;dj;;
㻫	;wb;wl;wb;nu;gj;;
㻶	;wy;wy;wb;nb;gt;;
㿫	;pb;by;pb;vr;xx;;
䀣	;ob;ob;ob;qt;hn;;
䁹	;ob;ou;ob;qn;hn;;
䃾	;pb;pb;ub;fv;py;;
䄶	;hf;hf;hf;xt;tx;;
䇷	;vd;vd;vb;rp;tk;;
䉾	;mb;lm;mb;ap;ux;;
䊧	;mb;mb;mf;po;ox;;
䋔	;sp;yp;sp;if;xg;;
䌟	;sb;yu;sb;in;xn;;
䎵	;eb;eb;eb;qt;bn;;
䏢	;op;oy;op;vr;eh;;
䏶	;ot;ot;ob;vg;ex;;
䕗	;cb;cl;cb;ll;at;;
䖩	;ib;ib;ib;ct;jn;;
䘡	;by;by;yb;vt;xx;;
䟆	;zb;tl;zb;pu;fh;;
䟤	;zb;zb;zb;pt;kh;;
䠋	;zu;zu;zb;pn;kh;;
䣥	;yb;yb;yb;yv;sg;;
䦘	;mg;mg;mg;ai;uv;;
䧗	;ew;ew;ef;th;bt;;
䨆	;vb;df;vb;fu;um;;
䩛	;gb;gb;gb;tt;af;;
䪐	;wb;vb;wb;gt;nh;;
䫁	;yz;zb;yz;ow;th;;
䫾	;fb;jb;fb;ot;mt;;
䬛	;fb;jl;fb;ou;mt;;
䭮	;ub;az;ub;po;de;;
䮡	;mw;mw;mf;nh;ct;;
䯗	;gt;gt;gb;fg;me;;
䵄	;ml;la;ml;ez;sw;;
佊	;rp;ry;rp;jr;wh;;rv
娝	;nk;nk;nf;bd;vg;;nh
嬶	;nb;nl;nb;bl;vt;;np
崥	;ub;eu;ub;vn;mr;;sp
幤	;xj;xj;ji,jw;sr;im;;ss
廦	;gx;gu;gb,gx;xn;yn;;ds
怶	;xp;xy;xp;hr;nh;;xv
旇	;fp;fy;fp;lr;yt;;dp
朇	;ru;ru;hb;jn;wg;;rp
朼	;mb;mb;mb;ev;sx;;mp
榌	;mf;md,ml;mf;ec;sn;;mv
毞	;bm;bm;mb;vv;xx;;hv
獙	;qw;qw;qb,qw;mh;qt;;pd
畁	;yq;yl;yq;dl;mg;;ss
睤	;oq;ol;ob,oq;ql;hl;;ss
稫	;ht;ht;hf,ht;xq;tg;;eh
笓	;vb;vb;vb;rv;tx;;gv
篳	;vb;vl;vb;ru;tj;;gs
粊	;bm;bm;mb;vp;xx;;hm
紕	;sb;yb;sb;iv;xx;;ih
紴	;sp;yy;sp;ir;xh;;iv
縪	;sb;yl;sb;iu;xj;;il
罼	;sb;sl;sb;yu;lj;;ss
翍	;yp;xy;yp;zr;nh;;vv
胇	;of;of;of;vt;ex;;yv
萞	;cb;cb;cb;lv;am;;cv
蓽	;cb;cl;cb;lu;aj;;cs
螕	;ib;ib;ib;cv;jt;;op
袐	;yb;ib;yb;tt;pu;;dx
襅	;yb;pl;yb;tu;pu;;dl
襣	;yb;pl;yb;tl;pu;;dp
詖	;yp;wy;yp;sr;yh;;av
豍	;db;au;db;zn;gk;;hp
貱	;bp;oy;bp;or;mh;;sv
贔	;bb;ob;bb;oo;mm;;sd
躃	;zx;zu;zb,zx;pn;kh;;zv
躄	;zx;ur;zb,zx;cp;nk;;vz
鄨	;yw;db;bk,yb,yw;fm;um;;dv
鄪	;fe;fe;ef;tt;xj;;vv
閇	;mx;mx;mx;ay;ug;;sd
閈	;mg;mg;mg;ae;uf;;ss
鞸	;gb;gl;gb;tu;af;;cl
韠	;wb;vl;wb;gu;nh;;vl
駜	;mb;mb;mb;nt;cn;;hx
驆	;mb;ml;mb;nu;cj;;hl
魓	;gb;gl;gb;au;rq;;pl
鮅	;yb;ab;yb;wt;qo;;px
鰏	;yt;at;yf,yt;wq;qo;;ph
鵖	;gn;gn;ng;ix;vc;;vp
鷝	;nb;ln;nb;qx;ja;;lp
鼊	;zh;uv;mb,mx,zh;cd;nk;;vh
𠈺	;rt;rt;rb;jg;wx;;
𠋯	;rj;rj;ry;jp;we;;
𠓷	;rx;rx;ru;jb;ty;;
𠛡	;bd;bd;bd;hp;nt;;
𠡂	;fl;fl;lf;ts;xj;;
𠦈	;ju;ju;uj,ju;qn;fj;;
𠧅	;gb;ku;gb;fn;mk;;
𠨘	;be;be;eb,be;hz;nt;;
𠩿	;ib;il;ib;xn;dj;;
𠬈	;qb;tu;qb;gn;fc;;
𠮃	;uy;uy;yb;cr;nk;;
𠽩	;ky;ky;kb;db;kt;;
𡚁	;bd;dd;bd;fm;um;;
𡛗	;bn;bn;nb;vb;xx;;
𡠚	;nb;nl;nb;bu;vj;;
𡳄	;uk;uk;ub,uh;cd;nk;;
𡻞	;ub;el;ub;vu;mj;;
𡽶	;ub;el;ub;vl;mt;;
𢁽	;jb;jb;jb;rt;mh;;
𢅩	;jb;jb;jb;rv;mh;;
𢍁	;yc;yc;yc;dl;ma;;
𢐦	;ug;ug;gb,gp,pg;cb;nk;;
𢖬	;xb;xb;xb,xh;hv;nx;;
𢘍	;fx;fx;xf,fx;th;xj;;
𢞗	;xb;xb;xp,xb;hv;nt;;
𢟵	;xt;xt;xf;hg;nd;;
𢡅	;xm;xm;xf;he;nd;;
𢩒	;hb;hb;hf;mm;yn;;
𢲾	;fc;fc;fb;ut;ru;;
𢳋	;fu;fu;fb;un;ry;;
𢴩	;fy;fy;fb;ub;rt;;
𣁉	;bw;bw;wb,bw;hv;nt;;
𣁢	;bw;dw;wb,bw;fv;um;;
𣋹	;oc;oc;ob;ol;ju;;
𣔓	;mb;my;mb;er;st;;
𣕾	;mb;mb;lb;et;ss;;
𣘥	;mc;mc;mb;et;su;;
𣚡	;mm;mm;mf;ee;sd;;
𣝍	;mc;mc;mp,mc;ek;sa;;
𣢠	;bq;br;qb,bq;he;nt;;
𣥣	;vp;by;vp;sr;hh;;
𣦇	;vf;bw;vf;sh;ht;;
𣦢	;uv;uv;vb;cs;nk;;
𣩩	;ud;ud;db;cg;nk;;
𣮐	;mu;mu;mb;vn;tf;;
𣯴	;mb;ml;mb;vu;tf;;
𣴨	;db;dz;db,do;ko;id;;
𤂀	;dt;dt;mt;km;ia;;
𤅹	;dd;dq;dd;km;il;;
𤐙	;hb;hu;hb;cn;on;;
𤗚	;pt;pt;pf,pt;aq;th;;
𤙞	;nt;nt;nb;qg;tr;;
𤜻	;qb;qb;qb;mv;qt;;
𤝸	;qm;qm;qm;mp;qt;;
𤠺	;qb;ql;qb;mu;qt;;
𤡝	;qt;qt;qf;mg;qt;;
𤢣	;qb;qu;qb;mn;qt;;
𤵘	;bb;bb;bb;at;un;;
𤹝	;bb;bl;bb;au;uj;;
𤹦	;bk;bk;bb,bh;ad;uk;;
𤻖	;bb;bl;bb;al;ut;;
𤽊	;bb;bb;bb;uv;rx;;
𥆯	;ot;ot;ob;qg;hx;;
𥈗	;oy;ob;oy;qw;hd;;
𥏠	;uu;uu;ub;on;td;;
𥛘	;ub;pl;ub;fu;py;;
𥟗	;hb;hl;hb;xl;tm;;
𥢦	;hh;hh;hh;xc;tt;;
𥳆	;vw;vw;vb;rh;tu;;
𥴬	;vp;vu;vp;rn;tn;;
𦀘	;sb;yt;sb;ig;xx;;
𦂖	;sc;yc;sc;il;xt;;
𦑞	;xt;xt;yf,yt;zq;ng;;
𦔆	;lt;lt;lf,lt;aq;di;;
𦠞	;ob;do;bo,ob;fv;um;;
𦤫	;zb;zl;zb;ol;th;;
𦭼	;cy;cy;cb,cy;lr;ae;;
𦯛	;cc;cc;cc;ll;am;;
𦰙	;cc;cc;bc,cc;ll;ax;;
𦱔	;cb;cb;cp;lv;ae;;
𦳈	;cb;cb;cb,cp;lv;al;;
𦸣	;cu;cu;cb;ln;ay;;
𧏻	;ib;il;ib;cu;jj;;
𧒀	;iw;iw;ib;ch;ju;;
𧓄	;ib;iu;ib;cn;jn;;
𧓎	;pi;pi;bk;uc;rt;;
𧝬	;by;dy,iy;yb,by;ft;um;;
𧤃	;jb;dl;jb;xl;qe;;
𧥑	;gy;gy,gt;hj,jh;pt;ak;;
𧫤	;yb;wl;yb;su;yj;;
𧲜	;px;un;bx,px;cw;nk;;
𧳠	;vb;vl;vb;ml;ee;;
𧼱	;tw;tw;zf;ph;fh;;
𨅗	;zy;zy;zb;pb;kh;;
𨋥	;if;if;if;yt;lx;;
𨋩	;iq;iq;if;ym;lw;;
𨐨	;uj;uj;bj,pj;cq;nk;;
𨚓	;fe;fe;fe;tt;xj;;
𨟵	;yb;yb;yb;yv;sg;;
𨠔	;yb;yb;yb;yt;sg;;
𨲋	;ib;au;ib;pn;dr;;
𨳲	;mb;mb;mb;ay;uy;;
𨵰	;mx;mx;mx;ay;ug;;
𨸼	;eb;eb;eb;tt;bn;;
𨻀	;eb;eb;ep;tv;bt;;
𨻼	;et;et;ef,et;tg;bd;;
𩉫	;gb;gb;gb;tv;af;;
𩊰	;gt;gt;gb;tg;af;;
𩏂	;wb;vu;wb;gn;nh;;
𩑻	;by;bb;yb,by;uw;rd;;
𩣚	;mk;mk;mf;nd;cg;;
𩪖	;gb;gl;gb;fu;me;;
𩪧	;gp;gu;gb,gp;fn;me;;
𩯃	;if;ab;if;po;de;;
𩲢	;gp;gy;gp;ar;rq;;
𩾳	;ng;nm;ng;xa;wv;;
𪋜	;lb;gl;lb;xu;yn;;
𪌄	;ls;ls;ms;ev;sw;;
𪍪	;mb;ll;mb;eu;sw;;
𪏺	;hb;hb;ub;xt;tw;;
𪐄	;hu;hu;ub;xn;tw;;
變	;yw;yw;ws,yw;sh;xy;;ad
変	;ww;ww;wy,yw;zh;yo;;dd
編	;sb;yc;sb;ii;xy;;id
辺	;zd;zd;zd;pu;vp;;vz
釆	;pm;pm;pd,pm;tp;to;;pm
邊	;zf;zf;zf;ou;th;;pz
